Data_incidente;Latitudine;Longitudine;Centro_abitato;Tipo_di_strada;Caratteristiche_della_strada;Stato_fondo_stradale;Tipo_pavimentazione;Condizioni_meteo;Condizioni_traffico;Danni_a_cose;Incidente_con_lesioni;Inviata_ore;Sul_posto_ore;DIFF. Intervento
01/01/2023;410.812;1.689.861;si;Provinciale entro l'abitato;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;no;no;04:25;04:30;5
01/01/2023;4.112.404;1.687.583;si;Strada Urbana;Intersezione stradale segnalata;Asciutto;Asfaltata;Sereno;Intenso;no;no;12:04;12:12;8
01/01/2023;4.109.223;1.687.005;si;Strada Urbana;Incrocio;Bagnato (umidita' in atto);Asfaltata;Sereno;Normale;no;si;19:15;19:25;10
02/01/2023;4.112.055;1.685.524;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;no;no;01:00;01:10;10
02/01/2023;4.111.258;1.687.394;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;09:45;09:50;5
02/01/2023;4.109.476;1.685.401;si;Strada Urbana;Intersezione stradale segnalata;Asciutto;Asfaltata;Sereno;Normale;no;si;10:45;10:55;10
02/01/2023;4.111.696;1.686.923;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Intenso;no;si;12:10;12:15;5
02/01/2023;4.109.172;168.929;si;Strada Urbana;Rotatoria;Bagnato (umidita' in atto);Asfaltata;Sereno;Normale;no;no;18:44;18:50;6
02/01/2023;4.111.559;1.687.839;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;no;no;19:10;19:20;10
02/01/2023;4.112.237;1.686.321;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;no;si;18:50;19:10;20
02/01/2023;4.114.516;167.667;si;Statale entro l'abitato;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;19:15;19:35;20
02/01/2023;4.115.122;1.675.976;si;Strada Urbana;Incrocio;Bagnato (umidita' in atto);Asfaltata;Foschia;Scarso;no;no;21:20;21:40;20
02/01/2023;4.111.132;1.685.316;si;Strada Urbana;Rettilineo;Bagnato (umidita' in atto);Asfaltata;Foschia;Normale;no;si;21:50;22:05;15
02/01/2023;4.112.591;1.687.237;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Intenso;no;si;22:00;22:10;10
03/01/2023;4.110.278;1.687.358;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;no;no;01:40;01:45;5
03/01/2023;4.110.559;1.687.181;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Nuvoloso;Normale;no;no;10:00;10:10;10
03/01/2023;4.112.441;1.685.493;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;si;16:10;16:20;10
03/01/2023;4.110.715;1.687.422;si;Strada Urbana;Intersezione semaforizzata;Asciutto;Asfaltata;Sereno;Normale;no;no;18:00;18:20;20
04/01/2023;4.109.012;1.685.771;no;Statale;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;si;no;10:00;10:15;15
04/01/2023;4.110.403;168.596;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Intenso;no;si;10:19;10:35;16
04/01/2023;410.998;1.685.643;si;Strada Urbana;Rettilineo;Asciutto;Strada pavimentata dissestata;Sereno;Intenso;no;no;11:20;11:40;20
04/01/2023;4.109.967;1.688.564;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;no;14:30;14:45;15
04/01/2023;4.112.862;1.686.379;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;si;13:55;14:05;10
04/01/2023;4.113.073;1.683.783;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;no;14:10;14:15;5
04/01/2023;411.279;1.680.565;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;no;14:22;14:25;3
04/01/2023;4.113.254;1.684.557;si;Strada Urbana;Intersezione non regolata/non segnalata;Asciutto;Asfaltata;Sereno;Scarso;no;no;15:20;15:40;20
04/01/2023;4.107.749;1.686.182;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;si;no;16:05;16:20;15
04/01/2023;4.111.002;1.685.385;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;si;17:10;17:31;21
04/01/2023;4.110.105;1.687.369;si;Strada Urbana;Rettilineo;Asciutto;Strada pavimentata dissestata;Sereno;Intenso;no;no;00:00;00:00;0
04/01/2023;4.111.996;168.717;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Intenso;no;si;18:30;18:40;10
05/01/2023;411.102;1.685.372;si;Strada Urbana;Intersezione stradale segnalata;Asciutto;Asfaltata;Sereno;Scarso;no;no;00:10;00:22;12
05/01/2023;4.115.585;1.676.192;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;no;10:50;11:00;10
05/01/2023;4.111.087;1.687.853;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;no;no;13:10;13:20;10
05/01/2023;4.113.016;1.678.202;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;no;no;16:50;17:00;10
05/01/2023;4.110.083;1.687.661;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;19:15;19:20;5
05/01/2023;4.112.105;1.685.358;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;19:35;19:45;10
05/01/2023;4.111.714;1.687.187;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;20:00;20:15;15
05/01/2023;4.112.441;1.686.542;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;no;si;21:30;21:40;10
06/01/2023;41.109;1.686.571;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;no;15:40;15:45;5
06/01/2023;4.111.039;1.686.797;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;no;si;23:20;23:30;10
07/01/2023;4.111.541;1.687.311;si;Strada Urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;no;no;00:05;00:14;9
07/01/2023;411.176;1.689.181;si;Strada Urbana;Rettilineo;Bagnato (pioggia);Asfaltata;Pioggia in atto;Scarso;no;no;05:10;05:20;10
07/01/2023;4.113.719;1.682.502;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;no;10:30;10:40;10
07/01/2023;4.112.546;1.685.949;si;Strada Urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;no;si;10:30;10:40;10
