NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore0
;;;;;0
Altamura - Via Santeramo;01/01/2023;Bari;Altamura;O3;62
Altamura - Via Santeramo;02/01/2023;Bari;Altamura;O3;44
Altamura - Via Santeramo;03/01/2023;Bari;Altamura;O3;44
Altamura - Via Santeramo;04/01/2023;Bari;Altamura;O3;60
Altamura - Via Santeramo;05/01/2023;Bari;Altamura;O3;67
Altamura - Via Santeramo;06/01/2023;Bari;Altamura;O3;62
Altamura - Via Santeramo;07/01/2023;Bari;Altamura;O3;64
Altamura - Via Santeramo;08/01/2023;Bari;Altamura;O3;57
Altamura - Via Santeramo;09/01/2023;Bari;Altamura;O3;77
Altamura - Via Santeramo;10/01/2023;Bari;Altamura;O3;80
Altamura - Via Santeramo;11/01/2023;Bari;Altamura;O3;62
Altamura - Via Santeramo;12/01/2023;Bari;Altamura;O3;67
Altamura - Via Santeramo;13/01/2023;Bari;Altamura;O3;67
Altamura - Via Santeramo;14/01/2023;Bari;Altamura;O3;58
Altamura - Via Santeramo;15/01/2023;Bari;Altamura;O3;64
Altamura - Via Santeramo;16/01/2023;Bari;Altamura;O3;60
Altamura - Via Santeramo;17/01/2023;Bari;Altamura;O3;64
Altamura - Via Santeramo;18/01/2023;Bari;Altamura;O3;77
Altamura - Via Santeramo;19/01/2023;Bari;Altamura;O3;76
Altamura - Via Santeramo;20/01/2023;Bari;Altamura;O3;65
Altamura - Via Santeramo;21/01/2023;Bari;Altamura;O3;67
Altamura - Via Santeramo;22/01/2023;Bari;Altamura;O3;48
Altamura - Via Santeramo;23/01/2023;Bari;Altamura;O3;62
Altamura - Via Santeramo;24/01/2023;Bari;Altamura;O3;65
Altamura - Via Santeramo;25/01/2023;Bari;Altamura;O3;57
Altamura - Via Santeramo;26/01/2023;Bari;Altamura;O3;56
Altamura - Via Santeramo;27/01/2023;Bari;Altamura;O3;53
Altamura - Via Santeramo;28/01/2023;Bari;Altamura;O3;46
Altamura - Via Santeramo;29/01/2023;Bari;Altamura;O3;53
Altamura - Via Santeramo;30/01/2023;Bari;Altamura;O3;0
Altamura - Via Santeramo;31/01/2023;Bari;Altamura;O3;62
Altamura - Via Santeramo;01/02/2023;Bari;Altamura;O3;79
Altamura - Via Santeramo;02/02/2023;Bari;Altamura;O3;74
Altamura - Via Santeramo;03/02/2023;Bari;Altamura;O3;76
Altamura - Via Santeramo;04/02/2023;Bari;Altamura;O3;76
Altamura - Via Santeramo;05/02/2023;Bari;Altamura;O3;71
Altamura - Via Santeramo;06/02/2023;Bari;Altamura;O3;62
Altamura - Via Santeramo;07/02/2023;Bari;Altamura;O3;65
Altamura - Via Santeramo;08/02/2023;Bari;Altamura;O3;64
Altamura - Via Santeramo;09/02/2023;Bari;Altamura;O3;63
Altamura - Via Santeramo;10/02/2023;Bari;Altamura;O3;65
Altamura - Via Santeramo;11/02/2023;Bari;Altamura;O3;76
Altamura - Via Santeramo;12/02/2023;Bari;Altamura;O3;77
Altamura - Via Santeramo;13/02/2023;Bari;Altamura;O3;70
Altamura - Via Santeramo;14/02/2023;Bari;Altamura;O3;73
Altamura - Via Santeramo;15/02/2023;Bari;Altamura;O3;81
Altamura - Via Santeramo;16/02/2023;Bari;Altamura;O3;85
Altamura - Via Santeramo;17/02/2023;Bari;Altamura;O3;89
Altamura - Via Santeramo;18/02/2023;Bari;Altamura;O3;84
Altamura - Via Santeramo;19/02/2023;Bari;Altamura;O3;81
Altamura - Via Santeramo;20/02/2023;Bari;Altamura;O3;85
Altamura - Via Santeramo;21/02/2023;Bari;Altamura;O3;81
Altamura - Via Santeramo;22/02/2023;Bari;Altamura;O3;82
Altamura - Via Santeramo;23/02/2023;Bari;Altamura;O3;75
Altamura - Via Santeramo;24/02/2023;Bari;Altamura;O3;77
Altamura - Via Santeramo;25/02/2023;Bari;Altamura;O3;72
Altamura - Via Santeramo;26/02/2023;Bari;Altamura;O3;69
Altamura - Via Santeramo;27/02/2023;Bari;Altamura;O3;69
Altamura - Via Santeramo;28/02/2023;Bari;Altamura;O3;60
Altamura - Via Santeramo;01/03/2023;Bari;Altamura;O3;68
