data_di_misurazione,id_station,denominazione,comune,provincia,Longitude,Latitude,tipologia_di_area,tipologia_di_stazione,rete,interesse_rete,id_pollutant,inquinante_misurato,valore_inquinante_misurato,limite,unita_misura,superamenti,indice_qualita,classe_qualita
2019-01-01,64,"Altamura - Via Santeramo","Altamura","Bari",16.561015,40.828848,"Suburbana","Fondo","RRQA","PUBBLICO","3","PM10",11,50,"µg/m³",0,22,"ottima"
2019-01-01,17,"Bari - Caldarola","Bari","Bari",16.888064,41.113542,"Urbana","Traffico","RRQA","PUBBLICO","3","PM10",12,50,"µg/m³",0,24,"ottima"
2019-01-01,81,"Bari - Carbonara","Bari","Bari",16.866944,41.076666,"Suburbana","Fondo","RRQA","PUBBLICO","3","PM10",11,50,"µg/m³",0,22,"ottima"
2019-01-01,54,"Bari - Cavour","Bari","Bari",16.872552,41.122269,"Urbana","Traffico","RRQA","PUBBLICO","3","PM10",15,50,"µg/m³",0,30,"ottima"
2019-01-01,90,"Bari - CUS","Bari","Bari",16.845277,41.134722,"Suburbana","Traffico","RRQA","PUBBLICO","3","PM10",null,50,"µg/m³",0,null,null
2019-01-01,55,"Bari - Kennedy","Bari","Bari",16.858905,41.099593,"Urbana","Fondo","RRQA","PUBBLICO","3","PM10",9,50,"µg/m³",0,18,"ottima"
2019-01-01,106,"Bitonto - EN01","Bitonto","Bari",16.745277,41.079166,"Suburbana","Industriale","IL","PRIVATO","3","PM10",8,50,"µg/m³",0,16,"ottima"
2019-01-01,65,"Casamassima - LaPenna","Casamassima","Bari",16.920731,40.953154,"Suburbana","Fondo","RRQA","PUBBLICO","3","PM10",16,50,"µg/m³",0,32,"ottima"
2019-01-01,97,"Modugno - EN02","Modugno","Bari",16.766111,41.107777,"Suburbana","Industriale","RRQA","PUBBLICO","3","PM10",11,50,"µg/m³",0,22,"ottima"
2019-01-01,98,"Modugno - EN03","Modugno","Bari",16.781672,41.087222,"Urbana","Industriale","RRQA","PUBBLICO","3","PM10",9,50,"µg/m³",0,18,"ottima"
2019-01-01,99,"Modugno - EN04","Modugno","Bari",16.787777,41.114444,"Suburbana","Industriale","RRQA","PUBBLICO","3","PM10",21,50,"µg/m³",0,42,"buona"
2019-01-01,14,"Molfetta - Verdi","Molfetta","Bari",16.605253,41.201101,"Urbana","Traffico","RRQA","PUBBLICO","3","PM10",15,50,"µg/m³",0,30,"ottima"
2019-01-01,66,"Monopoli - Aldo Moro","Monopoli","Bari",17.290285,40.951167,"Suburbana","Traffico","RRQA","PUBBLICO","3","PM10",11,50,"µg/m³",0,22,"ottima"
2019-01-01,92,"Monopoli - Liceo Artistico Russo","Monopoli","Bari",17.284267,40.961578,"Suburbana","Traffico","RRQA","PUBBLICO","3","PM10",17,50,"µg/m³",0,34,"buona"
2019-01-01,107,"Palo del Colle - EN05","Palo del Colle","Bari",16.700830,41.061388,"Suburbana","Industriale","IL","PRIVATO","3","PM10",17,50,"µg/m³",0,34,"buona"
2019-01-02,64,"Altamura - Via Santeramo","Altamura","Bari",16.561015,40.828848,"Suburbana","Fondo","RRQA","PUBBLICO","3","PM10",11,50,"µg/m³",0,22,"ottima"
2019-01-02,17,"Bari - Caldarola","Bari","Bari",16.888064,41.113542,"Urbana","Traffico","RRQA","PUBBLICO","3","PM10",25,50,"µg/m³",0,50,"buona"
2019-01-02,81,"Bari - Carbonara","Bari","Bari",16.866944,41.076666,"Suburbana","Fondo","RRQA","PUBBLICO","3","PM10",10,50,"µg/m³",0,20,"ottima"
2019-01-02,54,"Bari - Cavour","Bari","Bari",16.872552,41.122269,"Urbana","Traffico","RRQA","PUBBLICO","3","PM10",16,50,"µg/m³",0,32,"ottima"
