NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore ;Superamenti PM10* 
Altamura - Via Santeramo;01/01/2023;Bari;Altamura;PM10;55;7
Altamura - Via Santeramo;02/01/2023;Bari;Altamura;PM10;32;7
Altamura - Via Santeramo;03/01/2023;Bari;Altamura;PM10;27;7
Altamura - Via Santeramo;04/01/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;05/01/2023;Bari;Altamura;PM10;29;7
Altamura - Via Santeramo;06/01/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;07/01/2023;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;08/01/2023;Bari;Altamura;PM10;25;7
Altamura - Via Santeramo;09/01/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;10/01/2023;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;11/01/2023;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;12/01/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;13/01/2023;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;14/01/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;15/01/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;16/01/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;17/01/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;18/01/2023;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;19/01/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;20/01/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;21/01/2023;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;22/01/2023;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;23/01/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;24/01/2023;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;25/01/2023;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;26/01/2023;Bari;Altamura;PM10;8;7
Altamura - Via Santeramo;27/01/2023;Bari;Altamura;PM10;8;7
Altamura - Via Santeramo;28/01/2023;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;29/01/2023;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;30/01/2023;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;31/01/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;01/02/2023;Bari;Altamura;PM10;0;7
Altamura - Via Santeramo;02/02/2023;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;03/02/2023;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;04/02/2023;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;05/02/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;06/02/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;07/02/2023;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;08/02/2023;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;09/02/2023;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;10/02/2023;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;11/02/2023;Bari;Altamura;PM10;26;7
Altamura - Via Santeramo;12/02/2023;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;13/02/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;14/02/2023;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;15/02/2023;Bari;Altamura;PM10;31;7
Altamura - Via Santeramo;16/02/2023;Bari;Altamura;PM10;32;7
Altamura - Via Santeramo;17/02/2023;Bari;Altamura;PM10;37;7
Altamura - Via Santeramo;18/02/2023;Bari;Altamura;PM10;30;7
Altamura - Via Santeramo;19/02/2023;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;20/02/2023;Bari;Altamura;PM10;27;7
Altamura - Via Santeramo;21/02/2023;Bari;Altamura;PM10;35;7
Altamura - Via Santeramo;22/02/2023;Bari;Altamura;PM10;32;7
Altamura - Via Santeramo;23/02/2023;Bari;Altamura;PM10;31;7
Altamura - Via Santeramo;24/02/2023;Bari;Altamura;PM10;28;7
Altamura - Via Santeramo;25/02/2023;Bari;Altamura;PM10;31;7
Altamura - Via Santeramo;26/02/2023;Bari;Altamura;PM10;46;7
